Feature,CSM5MCX3,HSM7J4HS,PSM7J1AU,HSM6XRTM,MSM6J2LL,MSM6J2Q3,CSM67UBH,ESM5MEBG
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Orbales;f_Orbaceae;g_Gilliamella;s_Unclassified Gilliamella,0,0,0,0,0,0,28,0
k_Eukaryota;p_Ascomycota;c_Saccharomycetes;o_Saccharomycetales;f_Candida (no family in NCBI);g_Candida;s_Unclassified Candida,0,0,0,0,0,0,0,0
k_Eukaryota;p_Ascomycota;c_Saccharomycetes;o_Saccharomycetales;f_Metschnikowiaceae;g_Metschnikowia;s_Metschnikowia orientalis,6,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium baratii,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Paenibacillaceae;g_Brevibacillus;s_Unclassified Brevibacillus,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Drancourtella;s_Unclassified Drancourtella,80,1019,0,0,7,0,4,0
k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Schaalia;s_Schaalia turicensis,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella sp. AM42-24,0,0,0,0,0,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Geraniales;f_Geraniaceae;g_Unclassified Geraniaceae;s_Unclassified Geraniaceae,0,0,0,0,156,10,11,0
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Succiniclasticum;s_Unclassified Succiniclasticum,0,13,0,1481,0,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Fabales;f_Fabaceae;g_Trifolium;s_Unclassified Trifolium,0,0,0,0,0,0,34,0
k_Bacteria;p_Firmicutes;c_Unclassified Firmicutes;o_Unclassified Firmicutes;f_Unclassified Firmicutes;g_Unclassified Firmicutes;s_Unclassified Firmicutes,1871,2068,94,12077,136,340,789,292
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. AM56-10ce,0,0,0,0,0,0,0,0
k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Bifidobacteriales;f_Bifidobacteriaceae;g_Unclassified Bifidobacteriaceae;s_Unclassified Bifidobacteriaceae,0,0,0,154,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Pseudoalteromonadaceae;g_Unclassified Pseudoalteromonadaceae;s_Unclassified Pseudoalteromonadaceae,0,0,0,12,0,0,0,0
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Veillonellales;f_Veillonellaceae;g_Unclassified Veillonellaceae;s_Unclassified Veillonellaceae,0,20,0,38,0,0,0,0
k_Eukaryota;p_Chordata;c_Homo (no class in NCBI);o_Homo (no order in NCBI);f_Homo (no family in NCBI);g_Homo;s_Unclassified Homo,0,0,0,0,12,0,0,0
k_Bacteria;p_Firmicutes;c_Firmicutes bacterium AF36-19BH (no class in NCBI);o_Firmicutes bacterium AF36-19BH (no order in NCBI);f_Firmicutes bacterium AF36-19BH (no family in NCBI);g_Firmicutes bacterium AF36-19BH (no genus in NCBI);s_Firmicutes bacterium AF36-19BH,0,0,0,0,0,0,0,572
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Phascolarctobacterium;s_Unclassified Phascolarctobacterium,2789,0,0,156,0,423,22,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. 2_2_4,80,74,186,230,0,133,58,349
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp. 7_3_54FAA,0,0,0,0,12,21,0,147
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Raoultella;s_Raoultella terrigena,0,0,0,0,0,0,0,0
k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Eggerthellales;f_Eggerthellaceae;g_Adlercreutzia;s_Adlercreutzia equolifaciens,0,0,0,0,112,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. 3_1_13,0,44,0,0,0,2,10,116
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Morganellaceae;g_Unclassified Morganellaceae;s_Unclassified Morganellaceae,0,154,0,0,14,0,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Unclassified Acinetobacter,0,0,0,172,0,74,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Morganellaceae;g_Proteus;s_Unclassified Proteus,0,16,0,0,608,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Gemmiger;s_Unclassified Gemmiger,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp. chh4-2,0,0,0,0,0,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Zingiberales;f_Musaceae;g_Ensete;s_Ensete ventricosum,0,0,16,0,0,0,0,0
k_Viruses;p_Phixviricota;c_Malgrandaviricetes;o_Petitvirales;f_Unclassified Petitvirales;g_Unclassified Petitvirales;s_Unclassified Petitvirales,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Faecalicatena;s_Unclassified Faecalicatena,687,0,0,6,0,2,8,8
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes sp. Marseille-P5061,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Sellimonas;s_Unclassified Sellimonas,0,18,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Sutterellaceae;g_Mesosutterella;s_Mesosutterella multiformis,0,0,0,0,0,8,0,0
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Sutterellaceae;g_Sutterella;s_Sutterella megalosphaeroides,0,0,0,0,0,0,118,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella sp. Marseille-P4119,140,0,0,0,0,0,0,0
k_Bacteria;p_Verrucomicrobia;c_Opitutae;o_Opitutales;f_Opitutales bacterium (no family in NCBI);g_Opitutales bacterium (no genus in NCBI);s_Opitutales bacterium,0,0,0,0,0,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Poales;f_Poaceae;g_Oryza;s_Unclassified Oryza,0,20,0,2,1138,2695,26,6
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Paraprevotella;s_Paraprevotella clara,686,0,0,0,0,239,0,0
k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Acetobacteraceae;g_Acetobacter;s_Unclassified Acetobacter,3016,0,0,0,0,0,0,0
k_Viruses;p_Negarnaviricota;c_Monjiviricetes;o_Mononegavirales;f_Rhabdoviridae;g_Varicosavirus;s_Lettuce big-vein associated varicosavirus,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. 41_26,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiales bacterium CCNA10 (no family in NCBI);g_Clostridiales bacterium CCNA10 (no genus in NCBI);s_Clostridiales bacterium CCNA10,4,2,0,2,0,1870,0,0
k_Bacteria;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;g_Coprobacillus;s_Unclassified Coprobacillus,14023,28,38,5743,6,212,670,28
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Dysgonomonadaceae;g_Petrimonas;s_Petrimonas mucosa,0,0,0,0,0,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Poales;f_Poaceae;g_Panicum;s_Unclassified Panicum,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;g_Merdibacter;s_Merdibacter massiliensis,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Eubacterium;s_Eubacterium ventriosum,105,572,0,34,0,0,17,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Unclassified Enterobacterales;g_Unclassified Enterobacterales;s_Unclassified Enterobacterales,2,412,71,0,34,2,0,42
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiales bacterium Choco116 (no family in NCBI);g_Clostridiales bacterium Choco116 (no genus in NCBI);s_Clostridiales bacterium Choco116,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides goldsteinii,24,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. HMSC067B03,0,0,0,12,0,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Poales;f_Poaceae;g_Oryza;s_Oryza brachyantha,0,0,0,0,0,0,0,0
k_Bacteria;p_Armatimonadetes;c_Unclassified Armatimonadetes;o_Unclassified Armatimonadetes;f_Unclassified Armatimonadetes;g_Unclassified Armatimonadetes;s_Unclassified Armatimonadetes,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Oligella;s_Unclassified Oligella,0,0,0,0,0,0,46,0
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Sutterellaceae;g_Turicimonas;s_Turicimonas muris,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Enterocloster;s_Enterocloster clostridioformis,0,1312,0,2,354,204,100,228
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Flavonifractor;s_Flavonifractor sp. An306,0,0,0,0,32,20,6,18
k_Bacteria;p_Bacteroidetes;c_Chitinophagia;o_Unclassified Chitinophagia;f_Unclassified Chitinophagia;g_Unclassified Chitinophagia;s_Unclassified Chitinophagia,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Sphingobacteriaceae;g_Unclassified Sphingobacteriaceae;s_Unclassified Sphingobacteriaceae,8,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Enterocloster;s_Enterocloster lavalensis,36,52,0,32,0,12,29,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides merdae,4636,8547,72,52318,33,22843,1110,441
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. AM47-4,0,0,0,14,0,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Zingiberales;f_Musaceae;g_Musa;s_Musa acuminata,0,0,12,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Tissierellia;o_Tissierellales;f_Peptoniphilaceae;g_Parvimonas;s_Unclassified Parvimonas,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. Marseille-P3201T,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerostipes;s_Anaerostipes sp. 494a,12,0,0,0,80,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. AM16-15,0,4,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptostreptococcaceae;g_Paeniclostridium;s_Unclassified Paeniclostridium,0,0,0,0,0,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Cucurbitales;f_Cucurbitaceae;g_Cucurbita;s_Unclassified Cucurbita,0,0,0,0,0,0,157,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes communis,481,1193,0,45,0,827,22,5
k_Bacteria;p_Firmicutes;c_Firmicutes bacterium AF25-13AC (no class in NCBI);o_Firmicutes bacterium AF25-13AC (no order in NCBI);f_Firmicutes bacterium AF25-13AC (no family in NCBI);g_Firmicutes bacterium AF25-13AC (no genus in NCBI);s_Firmicutes bacterium AF25-13AC,0,0,0,16,0,0,0,10
k_Viruses;p_Kitrinoviricota;c_Tolucaviricetes;o_Tolivirales;f_Tombusviridae;g_Umbravirus;s_Opuntia umbra-like virus,0,139,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerostipes;s_Anaerostipes sp. 992a,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiales bacterium VE202-03 (no family in NCBI);g_Clostridiales bacterium VE202-03 (no genus in NCBI);s_Clostridiales bacterium VE202-03,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides pyogenes,12,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp. M62/1,0,0,0,0,0,0,236,0
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Sutterellaceae;g_Dakarella;s_Dakarella massiliensis,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Tannerella;s_Unclassified Tannerella,72,0,0,0,0,0,0,10
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Roseburia;s_Roseburia faecis,0,0,10,0,262,138,0,112
k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Unclassified Streptococcaceae;s_Unclassified Streptococcaceae,0,0,0,0,0,0,11,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. AF13-16,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiales bacterium TF09-2AC (no family in NCBI);g_Clostridiales bacterium TF09-2AC (no genus in NCBI);s_Clostridiales bacterium TF09-2AC,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Klebsiella;s_Unclassified Klebsiella,0,14,0,0,37,104,0,5
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Lachnospira;s_Unclassified Lachnospira,249,722,0,67,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Faecalicatena;s_Faecalicatena fissicatena,498,8,0,0,0,0,0,0
k_Archaea;p_Candidatus Lokiarchaeota;c_Unclassified Candidatus Lokiarchaeota;o_Unclassified Candidatus Lokiarchaeota;f_Unclassified Candidatus Lokiarchaeota;g_Unclassified Candidatus Lokiarchaeota;s_Unclassified Candidatus Lokiarchaeota,0,0,0,0,0,48,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Coprococcus;s_Coprococcus comes,2729,11476,221,834,4,40,10,34
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Roseburia;s_Roseburia sp. 40_7,0,0,0,18,0,0,0,0
k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Propionibacteriales;f_Propionibacteriaceae;g_Propionibacterium;s_Unclassified Propionibacterium,0,0,0,0,0,22,0,0
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Sutterellaceae;g_Sutterella;s_Sutterella sp. AM11-39,0,0,0,0,0,0,104,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Agathobacter;s_Agathobacter sp.,0,0,0,0,0,62,10,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Intestinibacillus;s_Unclassified Intestinibacillus,0,0,0,0,0,6,0,0
k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobacteriaceae archaeon (no genus in NCBI);s_Methanobacteriaceae archaeon,0,0,0,26,0,8,0,0
k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Flavobacterium;s_Flavobacterium tibetense,20,98,8,52,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Pseudobutyrivibrio;s_Unclassified Pseudobutyrivibrio,86,10,100,217,27,15,14,474
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Eubacterium;s_Eubacterium callanderi,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Oceanobacillus;s_Unclassified Oceanobacillus,0,0,0,8,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Fusicatenibacter;s_Unclassified Fusicatenibacter,146,11,68,2345,338,118,0,26
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotellaceae bacterium (no genus in NCBI);s_Prevotellaceae bacterium,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Subdoligranulum;s_Subdoligranulum sp. AF14-43,0,0,0,0,0,0,0,0
k_Archaea;p_Candidatus Woesearchaeota;c_Unclassified Candidatus Woesearchaeota;o_Unclassified Candidatus Woesearchaeota;f_Unclassified Candidatus Woesearchaeota;g_Unclassified Candidatus Woesearchaeota;s_Unclassified Candidatus Woesearchaeota,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Epulopiscium;s_Unclassified Epulopiscium,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes shahii,953,78,4,12417,0,0,0,14
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp.,126,32,0,12,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Faecalimonas;s_Faecalimonas umbilicata,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Frisingicoccus;s_Frisingicoccus caecimuris,0,0,0,0,0,0,0,0
k_Viruses;p_Kitrinoviricota;c_Alsuviricetes;o_Martellivirales;f_Virgaviridae;g_Unclassified Virgaviridae;s_Unclassified Virgaviridae,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Sutterellaceae;g_Sutterella;s_Sutterella sp. AF15-44LB,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Anaerofustis;s_Unclassified Anaerofustis,0,0,0,0,0,0,2,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp. ATCC BAA-442,22,12,14,120,5285,2988,620,698
k_Eukaryota;p_Chordata;c_Anatidae (no class in NCBI);o_Anatidae (no order in NCBI);f_Anatidae;g_Anas;s_Unclassified Anas,0,0,0,0,36,0,0,0
k_Bacteria;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;g_Longibaculum;s_Longibaculum muris,0,0,0,0,0,726,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Flavonifractor;s_Flavonifractor plautii,160,254,102,1122,13596,3501,3157,3022
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Lachnospiraceae bacterium (no genus in NCBI);s_Lachnospiraceae bacterium,6465,13453,2291,4019,453,1040,201,1364
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Unclassified Pseudomonadaceae;s_Unclassified Pseudomonadaceae,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Enterocloster;s_Unclassified Enterocloster,388,1962,358,244,9395,3570,2513,331
k_Bacteria;p_Bacteroidetes;c_Unclassified Bacteroidetes;o_Unclassified Bacteroidetes;f_Unclassified Bacteroidetes;g_Unclassified Bacteroidetes;s_Unclassified Bacteroidetes,278,155,0,686,0,76,415,38
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp. AM42-4,555,0,0,22,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptococcaceae;g_Dehalobacterium;s_Unclassified Dehalobacterium,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Intestinimonas (no family in NCBI);g_Intestinimonas;s_Intestinimonas massiliensis,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Epsilonproteobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter;s_Unclassified Helicobacter,0,0,0,0,0,0,10,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Dysgonomonadaceae;g_Dysgonomonas;s_Unclassified Dysgonomonas,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Desulfovibrio;s_Desulfovibrio sp.,0,0,0,0,0,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Zingiberales;f_Musaceae;g_Musa;s_Unclassified Musa,0,0,18,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. NSJ-48,0,0,0,10,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Morganellaceae;g_Providencia;s_Unclassified Providencia,0,28,0,0,0,0,20,0
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Veillonellales;f_Veillonellaceae;g_Megasphaera;s_Megasphaera sp. DISK 18,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Sutterellaceae;g_Sutterella;s_Sutterella sp.,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Selenomonadales;f_Selenomonadaceae;g_Megamonas;s_Unclassified Megamonas,40,0,0,8,0,0,16,0
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Sutterellaceae;g_Parasutterella;s_Unclassified Parasutterella,2035,73103,11701,28742,12,0,37,10937
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Oscillospiraceae;g_Oscillibacter;s_Oscillibacter sp. KLE 1745,0,26,0,34,4,30,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Malvales;f_Malvaceae;g_Theobroma;s_Unclassified Theobroma,0,0,0,0,40,0,0,0
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Nitrosomonadales;f_Unclassified Nitrosomonadales;g_Unclassified Nitrosomonadales;s_Unclassified Nitrosomonadales,0,0,0,0,0,0,6,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Pseudobutyrivibrio;s_Pseudobutyrivibrio sp.,0,0,0,0,0,0,6,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Unclassified Prevotella,21615,661,1204,194,0,538,6412,48
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Unclassified Negativicutes;f_Unclassified Negativicutes;g_Unclassified Negativicutes;s_Unclassified Negativicutes,14,10,0,32,16,0,24,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides finegoldii,32,0,0,0,0,2,2,6
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Flintibacter (no family in NCBI);g_Flintibacter;s_Flintibacter sp. BX5,28,0,0,78,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp. AF18-27,0,0,0,0,0,26,60,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. AM25-34,0,22,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Lacrimispora;s_Unclassified Lacrimispora,0,50,0,0,20,27,8,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Unclassified Lachnospiraceae;s_Unclassified Lachnospiraceae,26108,73733,4354,43088,6888,13971,3216,30057
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Anaerotruncus;s_Unclassified Anaerotruncus,0,0,0,8,2,30,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptostreptococcaceae;g_Unclassified Peptostreptococcaceae;s_Unclassified Peptostreptococcaceae,32,10,0,84,84,278,252,420
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Intestinimonas (no family in NCBI);g_Intestinimonas;s_Intestinimonas butyriciproducens,4,0,0,16,0,107,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae;g_Porphyromonas;s_Porphyromonas gingivalis,0,0,0,0,0,4,0,0
